"","speaker","plays","count_speaker","count_plays"
"1","1.","Den politiske kandestøber Komedie",8,1
"2","1. advokat","Barselsstuen Komedie, Den politiske kandestøber Komedie, Den stundesløse Komedie i 3 akter, Jeppe på Bjerget eller Den forvandlede bonde",87,4
"3","1. advokat/anklageren","Barselsstuen Komedie, Den politiske kandestøber Komedie, Jeppe på Bjerget eller Den forvandlede bonde",31,3
"4","1. bonde","Melampe Tragikomedie",15,1
"5","1. dame","Barselsstuen Komedie",50,1
"6","1. doktor","Jeppe på Bjerget eller Den forvandlede bonde",7,1
"7","1. filosof","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",3,1
"8","1. gaudieb","Pernilles korte frøkenstand Komedie i 3 akter",3,1
"9","1. jøde","Ulysses von Ithacia eller En tysk komedie",1,1
"10","1. komediant","Hekseri eller blind alarm Komedie i 5 akter",31,1
"11","1. kvinde","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",16,1
"12","1. købmand","Den 11. juni",5,1
"13","1. mand","Barselsstuen Komedie, Hekseri eller blind alarm Komedie i 5 akter",15,2
"14","1. officer","Barselsstuen Komedie",10,1
"15","1. pige","Barselsstuen Komedie, Den politiske kandestøber Komedie, Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Melampe Tragikomedie, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",111,6
"16","1. proprietær","Den 11. juni",5,1
"17","1. rådsherre","Den pantsatte bondedreng Komedie i 3 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",78,2
"18","1. rådsherreinde","Den politiske kandestøber Komedie",1,1
"19","1. soldat","Hekseri eller blind alarm Komedie i 5 akter",5,1
"20","1. vagt","Hekseri eller blind alarm Komedie i 5 akter",5,1
"21","1. vært","Den pantsatte bondedreng Komedie i 3 akter",5,1
"22","2.","Den politiske kandestøber Komedie",3,1
"23","2. advokat","Barselsstuen Komedie, Den politiske kandestøber Komedie, Jeppe på Bjerget eller Den forvandlede bonde",34,3
"24","2. bonde","Melampe Tragikomedie",10,1
"25","2. dame","Barselsstuen Komedie",30,1
"26","2. doktor","Jeppe på Bjerget eller Den forvandlede bonde",7,1
"27","2. filosof","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",3,1
"28","2. gaudieb","Pernilles korte frøkenstand Komedie i 3 akter",4,1
"29","2. jøde","Ulysses von Ithacia eller En tysk komedie",11,1
"30","2. komediant","Hekseri eller blind alarm Komedie i 5 akter",14,1
"31","2. kvinde","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",16,1
"32","2. købmand","Den 11. juni",5,1
"33","2. mand","Barselsstuen Komedie",2,1
"34","2. musikant","Den vægelsindede Komedie i 3 akter",1,1
"35","2. officer","Barselsstuen Komedie",26,1
"36","2. pige","Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter",21,2
"37","2. proprietær","Den 11. juni",6,1
"38","2. rådsherre","Den pantsatte bondedreng Komedie i 3 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",9,2
"39","2. soldat","Hekseri eller blind alarm Komedie i 5 akter",5,1
"40","2. vagt","Hekseri eller blind alarm Komedie i 5 akter",2,1
"41","2. vært","Den pantsatte bondedreng Komedie i 3 akter",5,1
"42","3 mænd","Jeppe på Bjerget eller Den forvandlede bonde",6,1
"43","3. filosof","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",6,1
"44","3. gaudieb","Pernilles korte frøkenstand Komedie i 3 akter",2,1
"45","3. kvinde","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",29,1
"46","3. proprietær","Den 11. juni",1,1
"47","3. rådsherre","Den pantsatte bondedreng Komedie i 3 akter",1,1
"48","abelone","Barselsstuen Komedie, Den vægelsindede Komedie",37,2
"49","abrahams","Den politiske kandestøber Komedie",12,1
