"","speaker","n"
"1","1.",8
"2","1. advokat",87
"3","1. advokat/anklageren",31
"4","1. bonde",15
"5","1. dame",50
"6","1. doktor",7
"7","1. filosof",3
"8","1. gaudieb",3
"9","1. jøde",1
"10","1. komediant",31
"11","1. kvinde",16
"12","1. købmand",5
"13","1. mand",15
"14","1. officer",10
"15","1. pige",111
"16","1. proprietær",5
"17","1. rådsherre",78
"18","1. rådsherreinde",1
"19","1. soldat",5
"20","1. vagt",5
"21","1. vært",5
"22","2.",3
"23","2. advokat",34
"24","2. bonde",10
"25","2. dame",30
"26","2. doktor",7
"27","2. filosof",3
"28","2. gaudieb",4
"29","2. jøde",11
"30","2. komediant",14
"31","2. kvinde",16
"32","2. købmand",5
"33","2. mand",2
"34","2. musikant",1
"35","2. officer",26
"36","2. pige",21
"37","2. proprietær",6
"38","2. rådsherre",9
"39","2. soldat",5
"40","2. vagt",2
"41","2. vært",5
"42","3 mænd",6
"43","3. filosof",6
"44","3. gaudieb",2
"45","3. kvinde",29
"46","3. proprietær",1
"47","3. rådsherre",1
"48","abelone",37
"49","abrahams",12
"50","abrahams og sanderus",1
"51","advokaten",29
"52","aesculapius",14
"53","ammen",3
"54","andreas",15
"55","anføreren",19
"56","anførerne",2
"57","anklageren",2
"58","anne kandestøbers",25
"59","anneke",16
"60","antonius",64
"61","apelone",45
"62","apicius",165
"63","apicius (",2
"64","apollo",6
"65","arianke",25
"66","arv",353
"67","astrologus",8
"68","asverus",2
"69","barberen",6
"70","baronen",86
"71","barselskvinden",175
"72","bellona",1
"73","betjenten",22
"74","bogholderen",11
"75","bondedrengen/paltsgreven",135
"76","bonden",111
"77","borgeren",17
"78","borgmesteren",9
"79","borgmesterinden",1
"80","bremenfeldt",10
"81","byfogeden",9
"82","børnene",2
"83","chilian",216
"84","chiromanticus",18
"85","christine",7
"86","christoff",96
"87","christopher",56
"88","claus",9
"89","colombine",49
"90","corfitz",221
"91","cosmoligoreus",223
"92","cupido",1
"93","davus",145
"94","de 2 komedianter",1
"95","den bevæbnede",9
"96","den drukne",38
"97","den fremmede",12
"98","den fremmede person",2
"99","den usynlige",79
"100","den usynliges broder",32
"101","dido",24
"102","diogenes",87
"103","dobre podolsky",26
"104","doktor",5
"105","doktor bombastus",68
"106","dommeren",167
"107","don ranudo",166
"108","donna maria",9
"109","donna olympia",79
"110","dorothea",85
"111","dorthe",14
"112","drengen",62
"113","eleonora",22
"114","elisa",18
"115","ellen",1
"116","else",17
"117","elsebet",35
"118","elvire",45
"119","en af de fremmede",1
"120","en anden borger",1
"121","en anden dreng",3
"122","en anden vært",2
"123","en borger",1
"124","en gårdskarl",6
"125","en karl",2
"126","en kavaler",2
"127","en officer med knebelsbarter",2
"128","en person",2
"129","en pige",66
"130","en ridder",1
"131","engelke",5
"132","ephraim",25
"133","eraste",64
"134","erich madsen",42
"135","erik lakaj",7
"136","espen",105
"137","euclio",5
"138","faderen",9
"139","filosoffen",42
"140","fiskeren",20
"141","flensborgeren",20
"142","frands",97
"143","frantz knivsmed",11
"144","frantz parykmager",2
"145","fremmede",12
"146","fruen",43
"147","gejsten",7
"148","gert buntmager",252
"149","geske",89
"150","gilbert",43
"151","gonzalo",22
"152","gothard",18
"153","gottard",20
"154","gottfried",79
"155","greven",1
"156","gunild",79
"157","gunnild",19
"158","gusman",13
"159","gusmann",38
"160","hadersleveren",10
"161","hammer",8
"162","harlekin",200
"163","helene",57
"164","henning",9
"165","henrik",2068
"166","herman von bremenfeld",202
"167","herren",46
"168","holophernes",6
"169","hyacinthe",11
"170","haagen",67
"171","indenfor [studerende]",7
"172","ingeborg",8
"173","iris",7
"174","isabella",65
"175","iversen",21
"176","jacob",165
"177","jean",171
"178","jens",80
"179","jens griffel",81
"180","jeppe",259
"181","jeronimus",1399
"182","jesper oldfux",297
"183","jochum",1
"184","jomfruen",11
"185","juno",8
"186","jupiter",6
"187","juveleren",27
"188","jøden",98
"189","jørgen handskemager",17
"190","kammertjener",23
"191","karen",3
"192","karlene",1
"193","kavaleren",48
"194","kirsten",60
"195","knud",7
"196","kokken",5
"197","konen",32
"198","korporal",2
"199","kusken",7
"200","kællingen",43
"201","kæresten",4
"202","købmanden",8
"203","lakaj",78
"204","lakajerne",1
"205","lars",9
"206","laurentia",7
"207","leander",2120
"208","leander og oldfux",1
"209","leanders vært",1
"210","leerbeutel",134
"211","leonard",371
"212","leonora",562
"213","leonore",146
"214","lisbed",26
"215","lucie",10
"216","lucilia",35
"217","lucretia",221
"218","løjtnant",36
"219","madame abrahamsens",4
"220","madame la fleche",13
"221","madame sanderus",4
"222","madame ståbi",21
"223","mademoiselle hiort",10
"224","magdelone",418
"225","magnus",8
"226","manden",100
"227","manden i portechaisen",13
"228","marcolfus",25
"229","marie",20
"230","mars",1
"231","marthe",53
"232","menander",5
"233","mercurius",6
"234","mester bonifacius",23
"235","mester gert westphaler",560
"236","mester herman",10
"237","mithridates",7
"238","momus",9
"239","montanus",217
"240","moralisten",3
"241","musikanten",24
"242","niels",15
"243","niels christensen",35
"244","nille",72
"245","notarius",42
"246","novatianus",20
"247","octavius",25
"248","officeren",182
"249","ohngeldt",8
